unix_timestamp_ms,bid,ask,mid
1764326043063,1.1102,1.1103,1.110250
1764326050327,1.1116,1.1117,1.111650
1764326050581,1.1116,1.1117,1.111650
1764326050846,1.1116,1.1117,1.111650
1764326051098,1.1116,1.1117,1.111650
1764326051348,1.1116,1.1117,1.111650
1764326051605,1.1117,1.1118,1.111750
1764326051856,1.1124,1.1125,1.112450
1764326052106,1.1126,1.1127,1.112650
1764326052361,1.1126,1.1127,1.112650
1764326052611,1.1127,1.1128,1.112750
1764326052867,1.1128,1.1129,1.112850
1764326053119,1.1128,1.1129,1.112850
1764326053371,1.1128,1.1129,1.112850
1764326053622,1.1128,1.1129,1.112850
1764326053872,1.1129,1.113,1.112950
1764326054128,1.1129,1.113,1.112950
1764326054389,1.1129,1.113,1.112950
1764326054640,1.1129,1.113,1.112950
1764326054894,1.1129,1.113,1.112950
1764326055144,1.1129,1.113,1.112950
1764326055394,1.1129,1.113,1.112950
1764326055705,1.1129,1.113,1.112950
1764326055977,1.1129,1.113,1.112950
1764326056268,1.1129,1.113,1.112950
1764326056520,1.1129,1.113,1.112950
1764326056798,1.1129,1.113,1.112950
1764326057069,1.1129,1.113,1.112950
1764326057333,1.1129,1.113,1.112950
1764326057610,1.1129,1.113,1.112950
1764326057861,1.1129,1.113,1.112950
1764326058122,1.1129,1.113,1.112950
1764326058375,1.1129,1.113,1.112950
1764326058626,1.1127,1.1128,1.112750
1764326058882,1.1127,1.1128,1.112750
1764326059132,1.1127,1.1128,1.112750
1764326059393,1.1127,1.1128,1.112750
1764326059650,1.1127,1.1128,1.112750
1764326059956,1.1127,1.1128,1.112750
1764326060206,1.1127,1.1128,1.112750
1764326060456,1.1127,1.1128,1.112750
1764326060715,1.1126,1.1127,1.112650
1764326060978,1.1126,1.1127,1.112650
1764326061245,1.1126,1.1127,1.112650
1764326061526,1.1125,1.1126,1.112550
1764326061777,1.1125,1.1126,1.112550
1764326062045,1.1125,1.1126,1.112550
1764326062299,1.1125,1.1126,1.112550
1764326062585,1.1125,1.1126,1.112550
1764326062839,1.1125,1.1126,1.112550
1764326063137,1.1125,1.1126,1.112550
1764326063387,1.1125,1.1126,1.112550
1764326063672,1.1125,1.1126,1.112550
1764326063924,1.1124,1.1125,1.112450
1764326064174,1.1124,1.1125,1.112450
